,GAME_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PLAYER_ID,PLAYER_NAME,NICKNAME,START_POSITION,COMMENT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,PLUS_MINUS
37125,22000873,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:11,12.0,22.0,0.545,0.0,1.0,0.0,9.0,10.0,0.9,0.0,8.0,8.0,2.0,1.0,1.0,3.0,3.0,33.0,-3.0
37528,22000859,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,29:12,10.0,18.0,0.556,0.0,3.0,0.0,8.0,12.0,0.667,3.0,8.0,11.0,8.0,0.0,0.0,4.0,0.0,28.0,-5.0
37869,22000840,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,24:52,7.0,12.0,0.583,1.0,2.0,0.5,0.0,2.0,0.0,0.0,5.0,5.0,2.0,3.0,0.0,1.0,0.0,15.0,2.0
40868,22000745,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,33:05,18.0,21.0,0.857,0.0,3.0,0.0,11.0,13.0,0.846,1.0,11.0,12.0,2.0,1.0,3.0,4.0,2.0,47.0,17.0
41315,22000729,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,35:30,8.0,13.0,0.615,1.0,1.0,1.0,8.0,10.0,0.8,2.0,8.0,10.0,4.0,0.0,3.0,9.0,2.0,25.0,11.0
41744,22000717,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,33:44,10.0,21.0,0.476,2.0,5.0,0.4,10.0,12.0,0.833,1.0,5.0,6.0,3.0,0.0,1.0,2.0,1.0,32.0,-31.0
41921,22000695,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,,DND - Injury/Illness,,,,,,,,,,,,,,,,,,,,
42179,22000685,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,27:17,6.0,12.0,0.5,1.0,3.0,0.3329999999999999,3.0,6.0,0.5,3.0,5.0,8.0,5.0,0.0,0.0,2.0,3.0,16.0,-16.0
42604,22000669,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,32:53,4.0,11.0,0.364,1.0,3.0,0.3329999999999999,4.0,7.0,0.5710000000000001,0.0,8.0,8.0,7.0,1.0,1.0,5.0,2.0,13.0,6.0
43373,22000073,1610612749,MIL,Milwaukee,203507,Giannis Antetokounmpo,,F,,27:46,9.0,19.0,0.474,1.0,5.0,0.2,10.0,18.0,0.556,1.0,11.0,12.0,8.0,2.0,2.0,2.0,4.0,29.0,31.0
