,GAME_DATE_EST,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,HOME_TEAM_WINS,TEAM_ID,TEAM_CITY,PLAYER_ID,PLAYER_NAME,START_POSITION,MIN,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TO,PTS,PLUS_MINUS,colscatt
50,2021-10-31,22100091,1610612749,1610612762,2021,95.0,0.406,0.833,0.293,16.0,44.0,107.0,0.467,0.926,0.324,13.0,44.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,20.0,0.5,3.0,11.0,0.273,2.0,2.0,1.0,2.0,5.0,7.0,6.0,2.0,2.0,2.0,25.0,-10.0,1.25
51,2021-10-30,22100085,1610612749,1610612759,2021,93.0,0.404,0.688,0.256,20.0,52.0,102.0,0.411,0.708,0.226,28.0,49.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,34.0,18.0,0.611,0.0,3.0,0.0,6.0,11.0,0.545,0.0,13.0,13.0,3.0,0.0,0.0,7.0,28.0,-3.0,1.3
52,2021-10-27,22100060,1610612749,1610612750,2021,108.0,0.411,0.762,0.275,22.0,43.0,113.0,0.473,0.824,0.289,29.0,49.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,35.0,23.0,0.652,3.0,6.0,0.5,7.0,9.0,0.778,4.0,12.0,16.0,7.0,0.0,3.0,2.0,40.0,9.0,1.35
56,2021-10-19,22100001,1610612749,1610612751,2021,127.0,0.457,0.778,0.378,25.0,54.0,104.0,0.44,0.565,0.531,19.0,44.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,31.0,25.0,0.48,1.0,4.0,0.25,7.0,9.0,0.778,5.0,9.0,14.0,7.0,1.0,2.0,4.0,32.0,25.0,1.4000000000000001
57,2021-10-15,12100064,1610612749,1610612742,2021,103.0,0.448,0.778,0.275,21.0,44.0,114.0,0.449,0.857,0.359,30.0,55.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,25.0,11.0,0.818,2.0,2.0,1.0,6.0,9.0,0.667,0.0,10.0,10.0,2.0,1.0,0.0,3.0,26.0,-6.0,1.4500000000000002
59,2021-10-10,12100037,1610612749,1610612760,2021,130.0,0.543,0.615,0.541,32.0,55.0,110.0,0.418,0.692,0.352,25.0,35.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,17.0,9.0,0.444,0.0,1.0,0.0,0.0,2.0,0.0,3.0,6.0,9.0,6.0,1.0,0.0,0.0,8.0,11.0,1.5
60,2021-07-20,42000406,1610612749,1610612756,2020,105.0,0.451,0.862,0.222,20.0,53.0,98.0,0.442,0.842,0.24,14.0,37.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,42.0,25.0,0.64,1.0,3.0,0.333,17.0,19.0,0.895,4.0,10.0,14.0,2.0,0.0,5.0,6.0,50.0,10.0,1.55
62,2021-07-14,42000404,1610612749,1610612756,2020,109.0,0.402,0.828,0.241,22.0,48.0,103.0,0.513,0.842,0.304,18.0,40.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,42.0,19.0,0.579,0.0,2.0,0.0,4.0,8.0,0.5,5.0,9.0,14.0,8.0,3.0,2.0,1.0,26.0,3.0,1.6
63,2021-07-11,42000403,1610612749,1610612756,2020,120.0,0.478,0.769,0.389,28.0,47.0,100.0,0.482,0.688,0.29,21.0,36.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,37.0,23.0,0.609,0.0,2.0,0.0,13.0,17.0,0.765,4.0,9.0,13.0,6.0,1.0,0.0,1.0,41.0,20.0,1.6500000000000001
68,2021-06-25,42000302,1610612749,1610612737,2020,125.0,0.521,0.625,0.366,29.0,47.0,91.0,0.415,0.824,0.25,13.0,34.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,29.0,18.0,0.611,0.0,3.0,0.0,3.0,4.0,0.75,3.0,6.0,9.0,6.0,2.0,0.0,1.0,25.0,30.0,1.7000000000000002
69,2021-06-23,42000301,1610612749,1610612737,2020,113.0,0.461,0.786,0.222,27.0,45.0,116.0,0.495,0.875,0.25,19.0,51.0,0,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,41.0,25.0,0.56,0.0,2.0,0.0,6.0,8.0,0.75,4.0,8.0,12.0,9.0,2.0,2.0,3.0,34.0,4.0,1.75
71,2021-06-17,42000216,1610612749,1610612751,2020,104.0,0.451,0.821,0.212,14.0,51.0,89.0,0.444,0.571,0.3,14.0,39.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,41.0,20.0,0.6,0.0,0.0,0.0,6.0,10.0,0.6,5.0,12.0,17.0,3.0,0.0,0.0,3.0,30.0,22.0,1.8
73,2021-06-13,42000214,1610612749,1610612751,2020,107.0,0.443,0.65,0.34,27.0,42.0,96.0,0.434,0.778,0.303,20.0,43.0,1,1610612749,Milwaukee,203507,Giannis Antetokounmpo,F,38.0,26.0,0.538,1.0,5.0,0.2,5.0,10.0,0.5,1.0,11.0,12.0,3.0,0.0,1.0,5.0,34.0,29.0,1.85
